passage_id,chapter,section,subsection,page,cluster,cluster_name,cluster_short,x,y,word_count,text,nn,nn_sim
p0016,Part 1: General Information,Partners,Kunshan,13,7,Institutional & Transfer Credit,Transfer Credit,2.9142,2.2684,167,"Kunshan is located in the southeastern part of Jiangsu province, a satellite city in the greater Suzhou region and adjacent to Shanghai, two of the most developed metropolitan areas in China. Kunshan is regarded as one of the country's most economically successful county-level administrations. It ranked No 1 in the 25 Best County-level Cities in China study by Forbes China for the ninth year running in 2009. With an immigrant population larger than the number of its permanent residents, Kunshan was winner of the 2010 UN-Habitat Scroll of Honor Award, the most prestigious award given by the United Nations, along with Singapore and Vienna in recognition of work carried out in the field of human settlements development, for the city's innovative approach to granting migrants the right to essential services. It also has received titles and awards such as a National Hygiene City, Excellent Tourism City of China and National Garden City, as well as National Model City of Environment Protection and National Model Zone of Ecology.",p0011 p0066 p0076 p0022 p0007,0.530 0.506 0.485 0.476 0.466
p0017,Part 1: General Information,Partners,Kunshan,13,2,China & Asia (DKU Background Info; China & Asia stuides),China & Asia,2.9475,1.523,56,"Kunshan is culturally significant as the origin of Kunshan diao, the melody that ultimately evolved into Kunqu Opera, one of China's oldest extant theatre arts, which has been listed as UNESCO as World Intangible Culture Heritage. It has also been home to famous figures including Zu Chongzhi, Gu Yanwu, Gui Youguang, Gong Xian and Zhu Bailu.",p0280 p0284 p1093 p0986 p0941,0.538 0.487 0.484 0.482 0.479
p0018,Part 1: General Information,Duke Kunshan University Community Standard,(no subsection),13,7,Institutional & Transfer Credit,Transfer Credit,2.4391,2.339,136,"All Duke Kunshan University students are required to hold themselves to the highest standards for honesty, integrity, fairness, and responsibility in their academic and co-curricular endeavors. Duke Kunshan University is a community comprised of individuals from diverse cultures and backgrounds. We are dedicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non-academic endeavors, and to protecting and promoting a culture of integrity and trust. To uphold the Community Standard, each student is expected to pledge to hold him/herself to the highest standards for honesty, integrity, fairness, and responsibility in his/her academic and non-academic endeavors, to respect other cultures and embrace all forms of diversity, and to uphold the standards if they are compromised.",p0006 p0001 p0298 p0066 p0099,0.799 0.775 0.754 0.746 0.733
p0019,Part 2: A Liberal Arts Education at Duke Kunshan University,A 21st Century Curriculum,(no subsection),14,7,Institutional & Transfer Credit,Transfer Credit,2.8922,1.9283,119,"The Duke Kunshan University curriculum begins from liberal arts principles and is imbued with the hallmarks of a Duke education blended with Chinese tradition: interdisciplinary approaches, engagement with research questions, problem-based and team-based learning, and opportunities for students to craft individual pathways and deepen their intellectual engagement over time. It is a kind of education that builds critical thinking and problem-solving skills, simultaneously conferring a broad base of knowledge and fostering the ability to interrogate that knowledge and apply it flexibly. It is also deeply cross-cultural in its orientation: Duke Kunshan University gives all participants the continual experience of learning to see from multiple points of view and to work together across cultural boundaries—a crucial skill for the future.",p0008 p0022 p0009 p0024 p0005,0.848 0.831 0.807 0.807 0.806
p0020,Part 2: A Liberal Arts Education at Duke Kunshan University,A Liberal Arts College Experience,(no subsection),14,7,Institutional & Transfer Credit,Transfer Credit,2.8561,1.829,153,"The small-scale residential setting at Duke Kunshan University offers significant opportunities for innovative and integrated forms of learning, an especially close connection between faculty and students, and the intermixing of students with different interests. In addition, Duke Kunshan University offers creative alignments between its undergraduate curriculum and selected areas of research strength at Duke Kunshan University and at Duke. Liberal arts colleges provide direct access to research opportunities for undergraduates – they leverage their small size and commitment to teaching to provide opportunities for one-on-one and small team-based scholarly mentoring. In the United States, liberal arts colleges disproportionately produce students who go on to earn PhD’s. Duke Kunshan University offers the same kinds of focus on discovery and the co-creation of knowledge as at liberal arts colleges with the added dimension of research centers on site and connections to a major research university in the United States and to Wuhan University in China.",p0024 p0005 p0022 p0254 p0019,0.773 0.751 0.728 0.726 0.725
p0021,Part 2: A Liberal Arts Education at Duke Kunshan University,Dual Degrees,(no subsection),14,7,Institutional & Transfer Credit,Transfer Credit,3.3655,3.2575,92,Duke Kunshan University students successfully completing the course of study required by Duke Kunshan University and Duke University will be conferred both a Duke Kunshan University graduation certificate and diploma officially approved by the MOE as well as a diploma from Duke University indicating that the degree has been granted in accordance with the requirements of Duke Kunshan University and Duke University (Duke University is accredited by SACSCOC). All students must fulfill the requirements for both the Duke University and the Duke Kunshan University degrees. Students will be alumni of both institutions.,p0056 p0118 p0057 p0007 p0212,0.868 0.793 0.785 0.782 0.773
p0022,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,(no subsection),14,7,Institutional & Transfer Credit,Transfer Credit,2.7639,2.0248,53,"Duke Kunshan University provides a 21st century liberal arts and sciences education that helps students develop a sense of social responsibility and global citizenship, as well as strong and transferable intellectual and practical skills such as communication, analytical and problem-solving skills, and a demonstrated ability to apply knowledge and skills in real-world settings.",p0008 p0019 p0009 p0001 p0005,0.835 0.831 0.831 0.785 0.784
p0023,Part 2: A Liberal Arts Education at Duke Kunshan University,Animating Principles,(no subsection),15,5,Interdisciplinary Seminars & Learning Goals,Seminars,7.8327,0.8338,210,"The overarching goals are embedded in the seven animating principles that are expressed throughout the curriculum: • Rooted Globalism: To cultivate informed and engaged citizens who are knowledgeable about each other’s histories, traditions of thought and affiliations; and skilled in navigating among local, national and global identities and commitments. • Collaborative Problem-Solving: To instill the habits of collaboration and the ability to synthesize disparate insights in solving complex challenges. • Research and Practice: To enhance the ability to forge links between theory and practice in the many-sided and rapidly changing world of human need. • Lucid Communication: To develop the ability to communicate effectively, both orally and in writing, and to listen attentively to different viewpoints in coming to mature judgments. • Independence and Creativity: To nurture free inquiry, deep reflection and a drive to ask interesting questions and find compelling answers. • Wise Leadership: To shape thinkers and doers who possess the moral compass to guide communities and institutions toward a common good and who have the wisdom and technical competence to deal effectively with complexity. • A Purposeful Life: To form reflective scholars who test their core beliefs, connect their course of study to big questions of meaning, and who build the capacity for lifelong learning and exploration.",p0026 p0436 p0051 p0025 p1128,0.600 0.578 0.558 0.527 0.525
p0024,Part 3: The Curriculum,Overview,(no subsection),16,7,Institutional & Transfer Credit,Transfer Credit,2.9693,1.9119,140,"The Duke Kunshan University undergraduate curriculum can be described as a “research-inflected liberal arts experience” that builds on the unique DNA of Duke as a major research university but with a strong liberal arts philosophy, structure and orientation. The curriculum does not rely on traditional majors housed in departments, but rather is built on interdisciplinary and disciplinary components in and across three thematic areas: (1) natural and applied sciences, (2) social sciences, and (3) arts and humanities. Flexibility and inter-disciplinarity are hallmarks of this curriculum, along with signature work that enables students to engage scholarship both individually and within a community of learners. This curriculum is designed to be compatible with the quality and depth of a Duke undergraduate degree but is unique and distinct from the current Duke undergraduate experience, which is aligned more with a traditional major’s structure.",p0019 p0005 p0022 p0020 p0009,0.807 0.784 0.783 0.773 0.761
p0025,Part 3: The Curriculum,Overview,(no subsection),16,5,Interdisciplinary Seminars & Learning Goals,Seminars,7.2172,1.2263,157,"The curriculum fosters learning communities of students and faculty whose intellectual interactions revolve around two groups: (1) The interdisciplinary community, which spans laterally a variety of disciplines. To the big questions at the core of each interdisciplinary community will be deployed a variety of disciplines, voices, viewpoints and expertise, usually also from a variety of divisions. The deep expertise brought to bear on discussion will be provided by both faculty and advanced students. (2) The disciplinary specialization, which is akin to, or even entirely aligned to, a traditional vertical discipline. From this community comes the training in the methods, knowledge, and skills of a specific discipline. Individual courses that belong to an interdisciplinary community or disciplinary specialization may be taken at various stages of a students’ career. But the interdisciplinary community comes first in a students’ overall development – it provides a broad intellectual home and is followed by or is in parallel to more specialized work.",p0048 p0026 p0772 p1344 p0773,0.760 0.755 0.708 0.706 0.696
p0026,Part 3: The Curriculum,Overview,(no subsection),16,5,Interdisciplinary Seminars & Learning Goals,Seminars,7.1852,1.274,194,"The dual structure is also flexible, to accommodate a variety of student goals and outcomes. Some students might choose to pursue a less deep path in the disciplinary specialization while focusing more on developing broad expertise in the questions underlying the interdisciplinary community— and in that case the outcome can be a powerful kind of integrative education for students whose goal is not graduate school or specialized study, which is where a great many careers and life paths lie. This approach allows for a highly integrative, team-based approach to problem solving and knowledge acquisition. For students oriented towards graduate study, the integrative and out-looking approach in the interdisciplinary community broadens and enriches their deeper specialist expertise. Our strong expectation is that a student with deep expertise who also has interacted in a significant, deep way with an interdisciplinary group focused on big questions will be more, not less, appealing to graduate schools or other specialty pursuits. For certain disciplines, students oriented towards graduate school may also need to use some electives, guided independent studies, research, online courses and Study Abroad courses to deepen expertise beyond the number of courses required for the disciplinary specialization.",p0025 p0048 p0051 p0023 p0044,0.755 0.665 0.624 0.600 0.594
p0027,Part 3: The Curriculum,Overview,(no subsection),16,7,Institutional & Transfer Credit,Transfer Credit,3.8002,2.0748,87,"To ensure that Duke Kunshan University students develop the ability to communicate effectively, guided practice in writing and speaking are built into the fabric of the curriculum. All three Divisional Foundations sequences provide opportunities for students to practice the specialized discourse of their chosen field, while Common Core courses help students learn to communicate as scholars and professionals to broader audiences. Toward the end of their undergraduate studies, all students take on more advanced writing and speaking challenges as part of their signature work and capstone projects.",p0040 p0024 p0009 p1360 p1349,0.667 0.657 0.642 0.637 0.634
p0028,Part 3: The Curriculum,Key Components,(no subsection),17,7,Institutional & Transfer Credit,Transfer Credit,2.8183,1.9313,23,"The Duke Kunshan University undergraduate curriculum emphasizes shared knowledge and experience, integrated learning and deep learning, and flexible pathways. The key components are:",p0009 p0019 p0022 p0024 p0008,0.773 0.758 0.750 0.740 0.728
p0029,Part 3: The Curriculum,Key Components,Structures,17,5,Interdisciplinary Seminars & Learning Goals,Seminars,4.596,2.9009,127,"• Divisional areas of knowledge organize the faculty and the curriculum – Natural and Applied Sciences; Social Sciences; and Arts and Humanities – rather than traditional majors or departments. • Intensive 7-week terms enable students to take two in-depth courses with the flexibility to take some courses in 14-week blocks. • Fridays are designed for practica, field trips, internships, co-curricular activities, and civic engagement. • Mini-term courses provide a focused exposure to a single topic while enabling students to move outside of their comfort zones. There are no grades for these non-credit courses. • Seminars of fewer than 20 students are the primary mechanism for instruction and the means by which excellence in writing, speaking and listening are nurtured, supplemented by courses in English for Academic Purposes.",p0063 p0030 p0048 p0027 p0064,0.663 0.661 0.616 0.603 0.586
p0030,Part 3: The Curriculum,Key Components,Core Components,17,1,"Advanced Placement, Credit & Electives",AP & Electives,4.5564,3.1162,345,"• Common Core courses required of all students focus on big questions and critical challenges. Students take one per year for three years. • Language courses required in English, Chinese or potentially a third language. • Majors that have interdisciplinary and disciplinary components, with the former serving as the entry point and primary definition of a students’ academic community and the latter providing specialized training, as well as divisional foundation courses that prepare students for advanced study and signature work that focuses on a question, problem or issue and includes independent research, a senior thesis or creative production. • Electives that broaden students’ educational experience via simple distributional requirements and additionally enable them either to develop greater specialized knowledge or to further increase the breadth of their study. • Experiential learning opportunities that align the formal curriculum with practica, internships and other hands-on offerings are required. These components are reflected in specific requirements: • General Education: 3 common core courses (12 credits), 2-4 language courses (8-16 credits) depending on proficiency, 3 electives (12 credits) as distributional requirements, and one Quantitative Reasoning course (4 credits) • Major: 16-19 courses (64 to 76 credits) (foundation, interdisciplinary, disciplinary, and capstone) • Electives: 8-13 courses (32 to 52 credits) depending on division and language proficiency, which include the three electives as distributional requirements and one Quantitative Reasoning course in General Education • Other requirements: 1 non-credit mini-term course and 1 Signature Work project that includes a practice-oriented Experiential Learning component (internships, civic engagement, etc.) Students who complete Duke Kunshan University’s 4-year undergraduate curriculum will receive two degrees, one from Duke University and one from Duke Kunshan University. A total of 136 Duke Kunshan University credits is required for graduation with a Duke Kunshan University bachelor’s degree,1 which is equivalent to 34 Duke University course credits (1 Duke course credit is equivalent to 4 Duke Kunshan University credits). A total of 34 Duke University course credits is required for graduation with a Duke bachelor’s degree. More details on the course credit requirement are explained below in the Degree Requirement section.",p0033 p0032 p0045 p0029 p0062,0.699 0.699 0.673 0.661 0.651
p0031,Part 3: The Curriculum,Key Components,Core Components,18,7,Institutional & Transfer Credit,Transfer Credit,3.4256,2.9375,31,"1 There are additional MOE requirements for the Chinese mainland and Hong Kong, Macau, Taiwan students to obtain a Duke Kunshan University bachelor’s degree. See section on Credits Required for Degrees.",p0056 p0057 p0058 p0021 p0007,0.832 0.786 0.773 0.754 0.744
p0032,Part 3: The Curriculum,Key Components,Core Components,19,1,"Advanced Placement, Credit & Electives",AP & Electives,4.3884,3.2302,77,"Figure 1. Course Distribution and Graduation Requirements Year 1 Year 2 Year 3 Year 4 Common Core Courses Major: Divisional Foundation Courses, Interdisciplinary Courses, Disciplinary Courses, Signature Work* *Signature Work: Coursework, Signature Products, Experiential Learning Component Electives & One Non-credit Mini-term Course Physical Education Coursesa,b Chinese Society and Culture Coursesa Physical Proficiency Testa a students from Chinese Mainland and HMT b optional for international students c students from HMT may substitute additional CHSC courses for military training",p0030 p0060 p0708 p0178 p0172,0.699 0.669 0.668 0.663 0.658
p0033,Part 3: The Curriculum,Degree Requirements,General Education Requirements,20,5,Interdisciplinary Seminars & Learning Goals,Seminars,5.0038,2.2019,203,"Common Core courses provide opportunities for students to develop a degree of common knowledge and shared experiences. One dimension of this commonality is a set of core courses that focus on big questions and critical challenges with which every student should be prepared to engage. Engagement will draw from and integrate humanistic and scientific knowledge, including its historical context and cultural traditions of thought about value, the nature of reality, and what it is to be human. Such knowledge is both a means for addressing challenges and a pre-requisite for identifying what our challenges are and how we might address them. Common Core courses also provide regular instruction and guided practice in writing and speaking for non-specialist audiences. Students take these courses one per year, in sequence, so that the common experience and development of communication skills extend across time. The three common core courses are China in the World (Year 1), Global Challenges in Science, Technology and Health (Year 2), and Ethics, Citizenship and the Examined Life (Year 3). In order to promote the common experience among the same class of students, these three common core courses must be taken during the Fall or Spring term in the designated year of study.",p0030 p0906 p0032 p0027 p0048,0.699 0.635 0.575 0.572 0.570
p0034,Part 3: The Curriculum,Degree Requirements,General Education Requirements,20,1,"Advanced Placement, Credit & Electives",AP & Electives,4.4972,3.929,81,"The distributional requirement is intended to broaden students’ educational experience and ensure that all graduates have an acquaintance with a broad variety of fields of inquiry and approaches to knowledge. Students are required to take at least one four-credit course 2 in each of the three divisional areas: arts and humanities, natural and applied sciences, and social sciences. Courses that fulfill the distribution requirement are designated by divisional area attributes. The distribution requirement cannot be fulfilled with AP or IPC credits.",p0036 p0303 p0062 p0045 p0035,0.809 0.715 0.646 0.634 0.584
p0035,Part 3: The Curriculum,Degree Requirements,General Education Requirements,20,1,"Advanced Placement, Credit & Electives",AP & Electives,4.3989,3.9869,68,1. Courses with two divisional area attributes can be only counted as one area attribute; 2. Courses with both a Quantitative Reasoning (QR) attribute and a divisional area attribute can only be counted as one of these attributes; 3. Transfer credit from Duke or other academic institutions through study abroad or summer programs will need the review and approval from the division chair to fulfil the distributional requirement.,p0038 p0036 p0034 p0118 p0173,0.697 0.643 0.584 0.573 0.548
p0036,Part 3: The Curriculum,Degree Requirements,General Education Requirements,20,1,"Advanced Placement, Credit & Electives",AP & Electives,4.2854,3.9557,26,2 A student may fulfil the distribution requirement in a divisional area by taking two two-credit courses (four credits in total) with that divisional area attribute.,p0034 p0035 p0062 p0129 p1165,0.809 0.643 0.617 0.602 0.572
p0037,Part 3: The Curriculum,Degree Requirements,General Education Requirements,21,1,"Advanced Placement, Credit & Electives",AP & Electives,7.6675,5.0523,21,The Quantitative Reasoning (QR) requirement aims to ensure that all students graduate with critical skills in quantitative analysis and deductive reasoning.,p0038 p1131 p0035 p1056 p1059,0.711 0.524 0.502 0.458 0.448
p0038,Part 3: The Curriculum,Degree Requirements,General Education Requirements,21,1,"Advanced Placement, Credit & Electives",AP & Electives,4.6316,4.2239,62,"The QR requirement can be fulfilled by taking a course with the Quantitative Reasoning (QR) attribute3 or by approved transfer credit from study abroad or summer programs for computer science, mathematics, or statistics courses. Transfer credit requires the review and approval from the appropriate division chair to fulfil the distributional requirement. The QR requirement cannot be fulfilled by AP or IPC credits.",p0037 p0035 p1029 p0715 p0303,0.711 0.697 0.523 0.521 0.515
p0039,Part 3: The Curriculum,Degree Requirements,General Education Requirements,21,7,Institutional & Transfer Credit,Transfer Credit,3.7755,2.7771,40,"One of Duke Kunshan University’s goals is for students to graduate with strong skills in multiple languages, especially English and Chinese. To this end, all students are required to take 8-16 credits of foreign language courses appropriate to their needs.",p0057 p0041 p0042 p0175 p0058,0.809 0.770 0.767 0.764 0.757
p0040,Part 3: The Curriculum,Degree Requirements,General Education Requirements,21,7,Institutional & Transfer Credit,Transfer Credit,3.7674,2.465,109,"Duke Kunshan University’s medium of instruction is English, so it is imperative that all students have a strong command of English. Further, the ability to produce effective academic papers and presentations in English is especially important. Students whose secondary education was not in English medium schools will generally benefit from instruction in academic English skills, and will therefore be assigned to the English for Academic Purposes (EAP) track at Duke Kunshan University and be required to take two course sequences, EAP 101A and 101B and EAP 102A and 102B. Students can further develop their academic English skills by taking elective EAP courses and/or written and oral communication (WOC) courses.",p0042 p0111 p0039 p0108 p0112,0.819 0.818 0.729 0.692 0.684
p0041,Part 3: The Curriculum,Degree Requirements,General Education Requirements,21,7,Institutional & Transfer Credit,Transfer Credit,3.9449,2.6896,253,"Students at Duke Kunshan University should also attain a high level in Chinese, not only because Duke Kunshan University is located in China, but also because Chinese is already one of the world’s most important global languages. For this reason, students who are not required to be in the EAP track and who do not yet have a strong academic and professional command of Chinese will be assigned to a Chinese as Second Language (CSL) track, and assigned to a course appropriate to their Chinese level based on the results of a Duke Kunshan University placement examination process. All CSL-track students are required to meet two criteria: they must take at least eight credits of Chinese language courses (normally four 2-credit courses), and they must successfully complete CHINESE 202B or a higher level course. That is to say, students who begin their Chinese study in CHINESE 101A are required to take Chinese courses until they complete CHINESE 202B; students who begin studying Chinese in CHINESE 201A or a higher-level course are required to take 8 credits, starting with and including whatever level course they are placed into. After satisfying their foreign language requirement, CSL-track students are encouraged to continue developing their Chinese language skills by taking higher level elective courses in Chinese, and 3 Courses with more than one attribute can only be counted as one of these attributes. also by designing and carrying out Chinese learning plans either on their own or with guidance and support from the Writing and Language Studio.",p0305 p0113 p0042 p0039 p0058,0.853 0.799 0.796 0.770 0.756
p0042,Part 3: The Curriculum,Degree Requirements,General Education Requirements,22,7,Institutional & Transfer Credit,Transfer Credit,3.8042,2.4719,126,"Students who enter Duke Kunshan University with such a strong command of both English and Chinese that they can readily do academic work in both languages - and that no appropriate EAP and CSL courses are offered for them - will not be assigned to either the EAP track or the CSL track. These students can satisfy their foreign language requirement in several ways. One option is to take advanced written and oral communication (WOC) courses. (Because the content of different sections of some WOC courses differ considerably, in some cases students are allowed to take more than one WOC course of the same course number if the course content of the two courses is different.) Another option is to take courses in an additional language.",p0040 p0041 p0121 p0039 p0703,0.819 0.796 0.773 0.767 0.738
p0043,Part 3: The Curriculum,Degree Requirements,General Education Requirements,22,1,"Advanced Placement, Credit & Electives",AP & Electives,-0.2877,7.4631,16,More information on language placement is in the Entrance Credit and Placement sections of Part 6.,p0809 p0862 p0860 p0121 p1315,0.662 0.594 0.584 0.567 0.537
